RowKey,Artikel,Link,Amazon,A+,Kontrolle,K von,Fehler1,Begründung,Infobox,Priorität,BE bis,BE am,BE von,K ab,K am,K2 von,Kommentar,OPEN C. bis,C am,Case Nr.,C von,Check C,Reopen C2 am,Reopen C2 von,Check Reopen C,Sonstige Anmerkungen
Amazon Cases (NA):4882432973213572,NA-SAV3,https://www.amazon.com.mx/gp/product/B071PFPFV2,com.mx,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2630633159528324,NA-SAV3,https://www.amazon.co.uk/dp/B071PFPFV2,co.uk,Green,,EK,Ja,Box,Memory Type,3,,,LK,,,LK,Box,,,,,,,,,
Amazon Cases (NA):7134232786898820,NA-SAV3,https://www.amazon.fr/dp/B071PFPFV2,fr,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1504733252685700,NA-SAV3,https://www.amazon.it/dp/B071PFPFV2,it,Green,,EK,Ja,Box,"Cooling Method, Compatible Devices, Memory Type, Power connector type",4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6008332880056196,NA-SAV3,https://www.amazon.com.be/gp/product/B071PFPFV2,be,Green,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):3756533066370948,NA-SAV3,https://www.amazon.ca/gp/product/B071PFPFV2,ca,Green,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8260132693741444,NA-SAV3,https://www.amazon.com/gp/product/B071PFPFV2,com,Green,,SM,Ja,Box,"Item Size, Item Weight, Memory Type",4,,,SM,,,,,,,,,,,,,
Amazon Cases (NA):941783299264388,NA-SAV3,https://www.amazon.de/gp/product/B071PFPFV2,de,Green,,EK,Ja,Box,Memory Type,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):5445382926634884,NA-SAV3,https://www.amazon.es/dp/B071PFPFV2,es,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3193583112949636,NA-SAV3,https://www.amazon.co.jp/dp/B071PFPFV2,jp,Yellow,,HI,Ja,"BP, Box",Power connector type,5,,,,,,,,,,,,,,,,
Amazon Cases (NA):7697182740320132,NA-SAV3,https://www.amazon.nl/gp/product/B071PFPFV2,nl,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2067683206107012,NA-SAV3,https://www.amazon.sg/gp/product/B071PFPFV2,sg,Green,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6571282833477508,NA-SAV3,https://www.amazon.se/gp/product/B071PFPFV2,se,Green,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):4319483019792260,NA-SAV3,https://www.amazon.com.tr/dp/B071PFPFV2,tr,Green,,EK,Ja,Box,"Cooling Method, Power connector type",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):8823082647162756,NA-SAV3,https://www.amazon.pl/gp/product/B071PFPFV2,pl,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):238095857487748,NA-SAV3,https://www.newegg.com/noctua-na-sav3/p/1W8-001X-00011?Item=9SIAADY5SE6884,newegg,Green,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4741695484858244,NA-SAV4,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2489895671172996,NA-SAV4,https://www.amazon.com.au/gp/product/B071W6KYCG,au,Green,,SM,Ja,Box,Power connector type,3,,,DM,,,LK,Box,,,,,,,,,
Amazon Cases (NA):6993495298543492,NA-SAV4,https://www.amazon.co.uk/dp/B071W6KYCG,co.uk,Green,,EK,Ja,Box,"Cooling Method, Memory Type, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):1363995764330372,NA-SAV4,https://www.amazon.de/gp/product/B071W6KYCG,de,Green,,EK,Ja,Box,"Memory Type, Power connector type",3,,,,,,,,,,,,,,,,
Amazon Cases (NA):5867595391700868,NA-SAV4,https://www.amazon.es/dp/B071W6KYCG,es,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3615795578015620,NA-SAV4,https://www.amazon.fr/dp/B071W6KYCG,fr,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8119395205386116,NA-SAV4,https://www.amazon.it/dp/B071W6KYCG,it,Green,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):801045810909060,NA-SAV4,https://www.amazon.com.be/gp/product/B071W6KYCG,be,Green,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5304645438279556,NA-SAV4,https://www.amazon.ca/gp/product/B071W6KYCG,ca,Green,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3052845624594308,NA-SAV4,https://www.amazon.com/gp/product/B071W6KYCG,com,Green,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):7556445251964804,NA-SAV4,https://www.amazon.com.mx/gp/product/B071W6KYCG,com.mx,Green,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):1926945717751684,NA-SAV4,https://www.amazon.co.jp/dp/B071W6KYCG,jp,Yellow,,HI,Ja,"T, BP, Box","Material, Power connector type",5,,,,,,,,,,,,,,,,
Amazon Cases (NA):6430545345122180,NA-SAV4,https://www.amazon.nl/gp/product/B071W6KYCG,nl,Green,,LK,Ja,Box,Memory Type,3,,,HI,,,LK,Box,,,,,,,,,
Amazon Cases (NA):4178745531436932,NA-SAV4,https://www.amazon.sg/gp/product/B071W6KYCG,sg,Green,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8682345158807428,NA-SAV4,https://www.amazon.se/gp/product/B071W6KYCG,se,Green,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):519570834198404,NA-SAV4,https://www.amazon.pl/gp/product/B071W6KYCG,pl,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5023170461568900,NA-SAV4,https://www.newegg.com/noctua-na-sav4/p/1W8-001X-00012?Item=9SIAADY5SE7239,newegg,Yellow,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2771370647883652,NA-SAVG1,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7274970275254148,NA-SAVG1,https://www.amazon.com.au/gp/product/B09MWCDFJV,au,Blue,,LK,Ja,"BP, Box","Material, Compatible Devices, Power connector type",5,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):1645470741041028,NA-SAVG1,https://www.amazon.ca/gp/product/B09MWCDFJV,ca,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6149070368411524,NA-SAVG1,https://www.amazon.de/gp/product/B09MWCDFJV,de,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3897270554726276,NA-SAVG1,https://www.amazon.es/dp/B09MWCDFJV,es,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8400870182096772,NA-SAVG1,https://www.amazon.fr/dp/B09MWCDFJV,fr,Blue,,HI,Ja,Box,Power connector type,4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):1082520787619716,NA-SAVG1,https://www.amazon.it/dp/B09MWCDFJV,it,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5586120414990212,NA-SAVG1,https://www.amazon.com.be/gp/product/B09MWCDFJV,be,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3334320601304964,NA-SAVG1,https://www.amazon.com/gp/product/B09MWCDFJV,com,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7837920228675460,NA-SAVG1,https://www.amazon.com.mx/gp/product/B09MWCDFJV,com.mx,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2208420694462340,NA-SAVG1,https://www.amazon.co.uk/dp/B09MWCDFJV,co.uk,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6712020321832836,NA-SAVG1,https://www.amazon.co.jp/dp/B09MWCDFJV,jp,Yellow,,HI,Ja,"BP, Box","Material, Power connector type",5,,,,,,,,,,,,,,,,
Amazon Cases (NA):4460220508147588,NA-SAVG1,https://www.amazon.nl/gp/product/B09MWCDFJV,nl,Blue,,LK,Ja,Box,"Power connector type, Color, Special Features",4,,,HI,,,,,,,,,,,,,
Amazon Cases (NA):8963820135518084,NA-SAVG1,https://www.amazon.sg/gp/product/B09MWCDFJV,sg,Blue,,HI,Ja,Box,Power connector type,4,,,,,,,,,,,,,,,,
Amazon Cases (NA):62173997043588,NA-SAVG1,https://www.amazon.se/gp/product/B09MWCDFJV,se,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4565773624414084,NA-SAVG1,https://www.amazon.com.tr/dp/B09MWCDFJV,tr,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2313973810728836,NA-SAVG1,https://www.amazon.pl/gp/product/B09MWCDFJV,pl,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6817573438099332,NA-SAVG1,https://www.newegg.com/p/1YF-000T-004G8?Description=The%20NA-SAVG1&cm_re=The_NA-SAVG1-_-9SIAADYGMT9877-_-Product&quicklink=true,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1188073903886212,NA-SAVG1 chromax.black,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5691673531256708,NA-SAVG1 chromax.black,https://www.amazon.com.au/gp/product/B09MWGMCDR,au,Blue,,EK,Ja,"BP, Box","Cooling Method, Power connector type",5,,,,,,,,,,,,,,,,
Amazon Cases (NA):3439873717571460,NA-SAVG1 chromax.black,https://www.amazon.co.jp/dp/B09MWGMCDR,jp,Blue,,HI,Ja,"BP, Box","Material, Cooling Method, Power connector type",5,,,,,,,,,,,,,,,,
Amazon Cases (NA):7943473344941956,NA-SAVG1 chromax.black,https://www.amazon.com.be/gp/product/B09MWGMCDR,be,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):625123950464900,NA-SAVG1 chromax.black,https://www.amazon.ca/gp/product/B09MWGMCDR,ca,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5128723577835396,NA-SAVG1 chromax.black,https://www.amazon.com/gp/product/B09MWGMCDR,com,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2876923764150148,NA-SAVG1 chromax.black,https://www.amazon.com.mx/gp/product/B09MWGMCDR,com.mx,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7380523391520644,NA-SAVG1 chromax.black,https://www.amazon.co.uk/dp/B09MWGMCDR,co.uk,Blue,,HI,Ja,Box,Compatible Devices,4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):1751023857307524,NA-SAVG1 chromax.black,https://www.amazon.de/gp/product/B09MWGMCDR,de,Blue,,EK,Ja,Box,Compatible Devices,4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6254623484678020,NA-SAVG1 chromax.black,https://www.amazon.es/dp/B09MWGMCDR,es,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4002823670992772,NA-SAVG1 chromax.black,https://www.amazon.fr/dp/B09MWGMCDR,fr,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8506423298363268,NA-SAVG1 chromax.black,https://www.amazon.it/dp/B09MWGMCDR,it,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):343648973754244,NA-SAVG1 chromax.black,https://www.amazon.nl/gp/product/B09MWGMCDR,nl,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4847248601124740,NA-SAVG1 chromax.black,https://www.amazon.sg/gp/product/B09MWGMCDR,sg,Blue,,EK,Ja,"F, Box","Cooling Method, Power connector type",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):2595448787439492,NA-SAVG1 chromax.black,https://www.amazon.se/gp/product/B09MWGMCDR,se,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):7099048414809988,NA-SAVG1 chromax.black,https://www.amazon.com.tr/dp/B09MWGMCDR,tr,Blue,,JHU,Ja,Box,Cooling Method,3,,,,,,,,,,,,,,,,
Amazon Cases (NA):1469548880596868,NA-SAVG1 chromax.black,https://www.amazon.pl/gp/product/B09MWGMCDR,pl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5973148507967364,NA-SAVG1 chromax.black,https://www.newegg.com/p/1YF-000T-004G9?Description=NA-SAVG1%20chromax.black&cm_re=NA-SAVG1_chromax.black-_-9SIAADYGMU0016-_-Product&quicklink=true,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3721348694282116,NA-SAVG2,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8224948321652612,NA-SAVG2,https://www.amazon.com.au/dp/B0BHZJZMW7,au,Blue,,JHU,Ja,"BP, Box",Power connector type,5,,,,,,,,,,,,,,,,
Amazon Cases (NA):906598927175556,NA-SAVG2,https://www.amazon.com.be/dp/B0BHZJZMW7,be,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):5410198554546052,NA-SAVG2,https://www.amazon.ca/dp/B0BHZJZMW7,ca,Blue,,JHU,Ja,Box,"Cooling Method, Power connector type",4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):3158398740860804,NA-SAVG2,https://www.amazon.com/dp/B0BHZJZMW7,com,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7661998368231300,NA-SAVG2,https://www.amazon.com.mx/dp/B0BHZJZMW7,com.mx,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2032498834018180,NA-SAVG2,https://www.amazon.co.uk/dp/B0BHZJZMW7,co.uk,Blue,,LK,Ja,"T, Box",Power connector type,5,,,HI,,,LK,"T, Box",,,11272161932,SM,,,EK,,Batch ID: 3958587020283   // EK 07.07.2025
Amazon Cases (NA):6536098461388676,NA-SAVG2,https://www.amazon.de/dp/B0BHZJZMW7,de,Blue,,EK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4284298647703428,NA-SAVG2,https://www.amazon.es/dp/B0BHZJZMW7,es,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8787898275073924,NA-SAVG2,https://www.amazon.fr/dp/B0BHZJZMW7,fr,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):202911485398916,NA-SAVG2,https://www.amazon.it/dp/B0BHZJZMW7,it,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):4706511112769412,NA-SAVG2,https://www.amazon.co.jp/dp/B0BHZJZMW7,jp,Yellow,,SM,,Kom.,,,,,,,,,,,,,,,,,,keine Produktdetailseite // 26.06.25 // JHU
Amazon Cases (NA):2454711299084164,NA-SAVG2,https://www.amazon.nl/dp/B0BHZJZMW7,nl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6958310926454660,NA-SAVG2,https://www.amazon.sg/dp/B0BHZJZMW7,sg,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1328811392241540,NA-SAVG2,https://www.amazon.se/dp/B0BHZJZMW7,se,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):5832411019612036,NA-SAVG2,https://www.amazon.com.tr/dp/B0BHZJZMW7,tr,Blue,,DM,Ja,Box,Material,4,,,,,,,,,,,,,,,,The listing is 18+ //14.03.2025 DM
Amazon Cases (NA):3580611205926788,NA-SAVG2,https://www.amazon.pl/dp/B0BHZJZMW7,pl,Blue,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8084210833297284,NA-SAVG2,https://www.newegg.com/p/2YM-003R-000G8?item=9SIAADYJB29977,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):765861438820228,NA-SAVG2 chromax.black,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):5269461066190724,NA-SAVG2 chromax.black,https://www.amazon.de/dp/B0BHZJCT5D,de,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3017661252505476,NA-SAVG2 chromax.black,https://www.amazon.com.au/dp/B0BHZJCT5D,au,Blue,,JHU,Ja,"BP, Box",Power connector type,5,,,,,,,,,,,,,,,,
Amazon Cases (NA):7521260879875972,NA-SAVG2 chromax.black,https://www.amazon.com.be/dp/B0BHZJCT5D,be,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):1891761345662852,NA-SAVG2 chromax.black,https://www.amazon.ca/dp/B0BHZJCT5D,ca,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6395360973033348,NA-SAVG2 chromax.black,https://www.amazon.com/dp/B0BHZJCT5D,com,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):4143561159348100,NA-SAVG2 chromax.black,https://www.amazon.com.mx/dp/B0BHZJCT5D,com.mx,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):8647160786718596,NA-SAVG2 chromax.black,https://www.amazon.co.uk/dp/B0BHZJCT5D,co.uk,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):484386462109572,NA-SAVG2 chromax.black,https://www.amazon.es/dp/B0BHZJCT5D,es,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):4987986089480068,NA-SAVG2 chromax.black,https://www.amazon.fr/dp/B0BHZJCT5D,fr,Blue,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2736186275794820,NA-SAVG2 chromax.black,https://www.amazon.it/dp/B0BHZJCT5D,it,Blue,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):7239785903165316,NA-SAVG2 chromax.black,https://www.amazon.co.jp/dp/B0BHZJCT5D,jp,Yellow,,HI,Ja,"BP, Box","Material, Cooling Method",5,,,,,,,,,,,,,,,,
Amazon Cases (NA):1610286368952196,NA-SAVG2 chromax.black,https://www.amazon.nl/dp/B0BHZJCT5D,nl,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6113885996322692,NA-SAVG2 chromax.black,https://www.amazon.sg/dp/B0BHZJCT5D,sg,Blue,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3862086182637444,NA-SAVG2 chromax.black,https://www.amazon.se/dp/B0BHZJCT5D,se,Blue,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):8365685810007940,NA-SAVG2 chromax.black,https://www.amazon.com.tr/dp/B0BHZJCT5D,tr,Blue,,JHU,Ja,Box,Cooling Method,3,,,,,,,,,,,,,,,,
Amazon Cases (NA):1047336415530884,NA-SAVG2 chromax.black,https://www.amazon.pl/dp/B0BHZJCT5D,pl,Blue,,LK,Ja,Box,"Material, Power connector type",4,,,HI,,,LK,Box,,,,,,,,,
Amazon Cases (NA):5550936042901380,NA-SAVG2 chromax.black,https://www.newegg.com/p/2YM-003R-000G9?item=9SIAADYJB30549,newegg,Blue,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3299136229216132,NA-SAVP1,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):7802735856586628,NA-SAVP1,https://www.amazon.com.au/gp/product/B08HJ54B4L,au,Green,,LK,Ja,"F, Box","Compatible Devices, Power connector type",5,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):2173236322373508,NA-SAVP1,https://www.amazon.com.be/dp/B08HJ54B4L,be,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6676835949744004,NA-SAVP1,https://www.amazon.ca/gp/product/B08HJ54B4L,ca,Green,,EK,Ja,"F, Box",Cooling Method,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):4425036136058756,NA-SAVP1,https://www.amazon.co.uk/gp/product/B08HHCD5KT,com,Green,,EK,Ja,"F, Box",Cooling Method,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):8928635763429252,NA-SAVP1,https://www.amazon.com.mx/gp/product/B08HJ54B4L,com.mx,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):132542741221252,NA-SAVP1,https://www.amazon.co.uk/gp/product/B08HHCD5KT,co.uk,Green,,DM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4636142368591748,NA-SAVP1,https://www.amazon.de/gp/product/B08HHCD5KT,de,Green,,LK,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):2384342554906500,NA-SAVP1,https://www.amazon.es/gp/product/B08HHCD5KT,es,Green,,EK,Ja,"F, Box",Cooling Method,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6887942182276996,NA-SAVP1,https://www.amazon.fr/gp/product/B08HHCD5KT,fr,Green,,EK,Ja,"F, Box",Cooling Method,3,,,,,,,,,,,,,,,,
Amazon Cases (NA):1258442648063876,NA-SAVP1,https://www.amazon.it/dp/B08HJ54B4L,it,Green,,EK,Ja,"F, Box",Cooling Method,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):5762042275434372,NA-SAVP1,,jp,Yellow,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):3510242461749124,NA-SAVP1,https://www.amazon.nl/gp/product/B08HHCD5KT,nl,Green,,LK,Ja,"F, Box",Compatible Devices,4,,,HI,,,LK,"F, Box",,,,,,,,,
Amazon Cases (NA):8013842089119620,NA-SAVP1,https://www.amazon.sg/dp/B08HJ54B4L,sg,Green,,EK,Ja,"F, Box",Cooling Method,3,,,,,,,,,,,,,,,,
Amazon Cases (NA):695492694642564,NA-SAVP1,https://www.amazon.se/gp/product/B08HHCD5KT,se,Green,,EK,Ja,"F, Box",Cooling Method,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):5199092322013060,NA-SAVP1,https://www.amazon.com.tr/dp/B08HJ54B4L,tr,Green,,EK,Ja,"F, Box",Cooling Method,3,,,,,,,,,,,,,,,,
Amazon Cases (NA):2947292508327812,NA-SAVP1,https://www.amazon.pl/gp/product/B08HHCD5KT,pl,Green,,LK,Ja,F,,3,,,HI,,,LK,F,,,,,,,,,
Amazon Cases (NA):7450892135698308,NA-SAVP1,https://www.newegg.com/global/sg-en/noctua-na-savp1/p/1B4-0172-000Z2?Item=9SIAADYCEY8607,newegg,Green,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):1821392601485188,NA-SAVP1 chromax.black,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):6324992228855684,NA-SAVP1 chromax.black,https://www.amazon.com.au/gp/product/B018SOU3UG,au,Green,,LK,Ja,"T, Box",Voltage,4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):4073192415170436,NA-SAVP1 chromax.black,https://www.amazon.ca/gp/product/B018SOU3UG,ca,Green,,LK,Ja,Box,Voltage,2,,,HI,,,LK,Box,,,,,,,,,
Amazon Cases (NA):8576792042540932,NA-SAVP1 chromax.black,https://www.amazon.com.mx/gp/product/B018SOU3UG,com.mx,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):414017717931908,NA-SAVP1 chromax.black,https://www.amazon.es/dp/B018SOU3UG,es,Green,,SM,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4917617345302404,NA-SAVP1 chromax.black,https://www.amazon.it/dp/B018SOU3UG,it,Green,,EK,Ja,Box,Cooling Method,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):2665817531617156,NA-SAVP1 chromax.black,https://www.amazon.com.be/dp/B018SOU3UG,be,Green,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):7169417158987652,NA-SAVP1 chromax.black,https://www.amazon.com/gp/product/B018SOU3UG,com,Green,,HI,Ja,Box,Voltage,4,,,LK,,,LK,Box,,,,,,,,,
Amazon Cases (NA):1539917624774532,NA-SAVP1 chromax.black,https://www.amazon.co.uk/dp/B018SOU3UG,co.uk,Green,,EK,Ja,Box,"Cooling Method, Compatible Devices",4,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6043517252145028,NA-SAVP1 chromax.black,https://www.amazon.de/dp/B018SOU3UG,de,Green,,EK,Ja,Box,Memory Type,3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):3791717438459780,NA-SAVP1 chromax.black,https://www.amazon.fr/dp/B018SOU3UG,fr,Green,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):8295317065830276,NA-SAVP1 chromax.black,https://www.amazon.co.jp/dp/B018SOU3UG,jp,Yellow,,HI,Ja,"BP, Box","Battery, Memory Type",4,,,,,,,,,,,,,,,,
Amazon Cases (NA):976967671353220,NA-SAVP1 chromax.black,https://www.amazon.nl/gp/product/B018SOU3UG,nl,Green,,LK,Ja,Box,Memory Type,3,,,HI,,,LK,Box,,,,,,,,,
Amazon Cases (NA):5480567298723716,NA-SAVP1 chromax.black,https://www.amazon.sg/gp/product/B018SOU3UG,sg,Green,,HI,Ja,Box,Power connector type,4,,,,,,,,,,,,,,,,
Amazon Cases (NA):3228767485038468,NA-SAVP1 chromax.black,https://www.amazon.se/gp/product/B018SOU3UG,se,Green,,EK,Ja,Box,"Compatible Devices, Power connector type",3,,,LK,,,LK,Box,,,,,,,,,
Amazon Cases (NA):7732367112408964,NA-SAVP1 chromax.black,https://www.amazon.com.tr/dp/B018SOU3UG,tr,Green,,EK,Ja,Box,"Cooling Method, Memory Type, Power connector type",3,,,,,,,,,,,,,,,,
Amazon Cases (NA):2102867578195844,NA-SAVP1 chromax.black,https://www.amazon.pl/gp/product/B018SOU3UG,pl,Green,,EK,Ja,Box,"Cooling Method, Power connector type",3,,,LK,,,,,,,,,,,,,
Amazon Cases (NA):6606467205566340,NA-SAVP1 chromax.black,https://www.newegg.com/noctua-na-savp1-black/p/2BJ-000W-00016?Item=9SIAADY4B02924,newegg,Green,,JHU,Nein,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):4354667391881092,NA-SAVP1 chromax.blue,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Cases (NA):8858267019251588,NA-SAVP1 chromax.blue,https://www.amazon.com.au/dp/B018SOU6MG,au,Green,,EK,Ja,Box,"Cooling Method, Memory Type",3,,,,,,,,,,,,,,,,
Amazon Cases (NA):273280229576580,NA-SAVP1 chromax.blue,https://www.amazon.com.be/dp/B018SOU6MG,be,Green,,EK,Ja,Box,Cooling Method,2,,,LK,,,,,,,,,,,,,
